Src_NodeID, Dest_NodeID, Weight, B1, B2, B3
7707, 7708, 3, 0, 1, 1
7708, 7707, 3, 0, 1, 1
3181, 3182, 20, 0, 1, 1
3182, 3181, 20, 0, 1, 1
9150, 9151, 14, 0, 1, 1
9151, 9150, 14, 0, 1, 1
9853, 9854, 16, 1, 1, 0
9854, 9853, 16, 1, 1, 0
2659, 2660, 5, 1, 1, 1
2660, 2659, 5, 1, 1, 1
8036, 8037, 17, 0, 1, 1
8037, 8036, 17, 0, 1, 1
3416, 3417, 14, 0, 1, 1
3417, 3416, 14, 0, 1, 1
6599, 8567, 36, 0, 1, 0
8567, 6599, 36, 0, 1, 0
387, 388, 18, 1, 1, 0
388, 387, 18, 1, 1, 0
987, 988, 18, 1, 1, 0
988, 987, 18, 1, 1, 0
935, 936, 4, 1, 1, 1
936, 935, 4, 1, 1, 1
9677, 5486, 50, 1, 1, 0
5486, 9677, 50, 1, 1, 0
5668, 5669, 4, 1, 1, 0
5669, 5668, 4, 1, 1, 0
1614, 1615, 9, 0, 1, 1
1615, 1614, 9, 0, 1, 1
2788, 2789, 10, 1, 1, 0
2789, 2788, 10, 1, 1, 0
59, 60, 14, 1, 1, 1
60, 59, 14, 1, 1, 1
3810, 3811, 6, 0, 1, 1
3811, 3810, 6, 0, 1, 1
7436, 7437, 11, 0, 1, 0
7437, 7436, 11, 0, 1, 0
8387, 8388, 18, 0, 1, 1
8388, 8387, 18, 0, 1, 1
5849, 5850, 8, 0, 1, 1
5850, 5849, 8, 0, 1, 1
4631, 4632, 7, 1, 1, 1
4632, 4631, 7, 1, 1, 1
2916, 8310, 44, 0, 1, 0
8310, 2916, 44, 0, 1, 0
367, 368, 11, 1, 1, 0
368, 367, 11, 1, 1, 0
7154, 7155, 19, 0, 1, 0
7155, 7154, 19, 0, 1, 0
6185, 6186, 18, 0, 1, 1
6186, 6185, 18, 0, 1, 1
1599, 1600, 12, 0, 1, 1
1600, 1599, 12, 0, 1, 1
248, 249, 15, 0, 1, 1
249, 248, 15, 0, 1, 1
8607, 8608, 17, 1, 1, 0
8608, 8607, 17, 1, 1, 0
1733, 1734, 17, 1, 1, 0
1734, 1733, 17, 1, 1, 0
7451, 7452, 18, 1, 1, 1
7452, 7451, 18, 1, 1, 1
9993, 9994, 13, 1, 1, 0
9994, 9993, 13, 1, 1, 0
4694, 6908, 25, 1, 1, 1
6908, 4694, 25, 1, 1, 1
5609, 5610, 7, 1, 1, 1
5610, 5609, 7, 1, 1, 1
6947, 6948, 6, 1, 1, 1
6948, 6947, 6, 1, 1, 1
9137, 9138, 5, 0, 1, 0
9138, 9137, 5, 0, 1, 0
6270, 6271, 7, 0, 1, 1
6271, 6270, 7, 0, 1, 1
4700, 4701, 15, 1, 1, 0
4701, 4700, 15, 1, 1, 0
3518, 3519, 15, 0, 1, 0
3519, 3518, 15, 0, 1, 0
9170, 9171, 9, 0, 1, 0
9171, 9170, 9, 0, 1, 0
1423, 1424, 10, 1, 1, 1
1424, 1423, 10, 1, 1, 1
3629, 4067, 21, 1, 1, 0
4067, 3629, 21, 1, 1, 0
8548, 8549, 16, 0, 1, 1
8549, 8548, 16, 0, 1, 1
513, 1688, 33, 0, 1, 0
1688, 513, 33, 0, 1, 0
4511, 4512, 6, 1, 1, 0
4512, 4511, 6, 1, 1, 0
3594, 1698, 5, 0, 1, 1
1698, 3594, 5, 0, 1, 1
6930, 6931, 11, 1, 1, 0
6931, 6930, 11, 1, 1, 0
8101, 8102, 6, 0, 1, 1
8102, 8101, 6, 0, 1, 1
1610, 1611, 17, 1, 1, 0
1611, 1610, 17, 1, 1, 0
6784, 6785, 12, 1, 1, 1
6785, 6784, 12, 1, 1, 1
