Source_NodeID,Destination_NodeID,Weight,B1
65899,28802,63,1
4911,24720,3,0
24941,72670,82,1
44045,95773,29,1
27903,69908,86,1
4708,43237,4,1
24791,22626,44,0
15076,58114,38,0
3135,52883,77,1
59003,65808,77,1
2460,74701,66,1
86702,7161,99,1
14761,61110,53,1
98403,95366,30,0
26729,26058,15,0
48633,80107,40,0
94778,67142,80,0
74322,57895,97,0
45252,73618,70,1
77755,52724,39,0
20841,22562,93,0
75075,56470,4,1
62936,95693,18,1
24673,26012,90,0
84560,13389,87,0
79006,3463,84,1
85251,49220,39,1
70789,58586,8,0
56199,21329,83,1
99842,50711,45,0
77423,50040,50,0
94154,97169,13,0
44987,94955,58,1
32809,53219,84,0
54595,5507,83,1
93051,70980,47,0
94233,15190,31,1
94093,91365,4,1
53760,84645,66,1
83932,58502,26,0
66505,60739,92,1
51868,95867,74,1
47574,78741,78,0
21510,40724,89,0
99127,9917,6,1
89654,70540,87,1
79740,65240,36,0
67334,96021,88,1
77638,94316,30,0
49108,65802,17,1
14902,69445,94,0
23890,63051,85,0
92635,80810,16,1
3794,7613,90,1
81597,23037,15,1
24705,33282,12,1
52878,49339,11,0
32974,54474,81,1
86202,27928,89,0
89993,15355,78,0
88008,96725,19,0
20173,71085,72,0
40181,73169,2,1
73964,68588,38,0
17248,74788,39,1
15765,95999,90,0
97305,52208,64,1
34683,39477,65,1
42262,195,89,0
48985,11333,93,0
72036,98457,35,1
18633,26585,22,0
87090,95700,75,0
17955,12971,61,1
99036,59972,47,0
73550,93026,73,1
94371,44126,61,1
87625,72676,61,1
15926,23891,28,1
17657,85220,16,1
65916,37471,58,1
68646,66400,62,0
42831,13878,100,0
23414,86711,82,0
29963,60512,46,1
96446,95429,88,0
23904,87574,89,1
37926,57336,8,0
1013,42063,33,1
15148,67798,69,1
3633,61738,21,1
4278,99893,44,1
97760,20987,58,1
91786,32401,54,1
70752,56944,20,1
34904,78773,2,1
52548,16117,29,0
25869,35183,73,1
19053,4730,73,1
47047,57343,93,1
49895,83109,33,1
79442,50214,85,1
83683,62968,43,0
91578,87428,11,1
42754,7780,29,1
79156,89829,70,1
1694,61968,31,0
96438,21774,35,0
62933,97692,60,0
86293,64411,75,1
21718,32265,36,0
27711,81302,85,0
26755,95264,86,1
31158,47610,56,0
23772,2944,1,0
76854,48196,50,1
77589,62109,85,0
8936,88323,82,1
34347,38524,94,0
32043,52809,54,0
71140,10873,60,1
83821,66763,50,1
46276,22608,23,1
10073,408,25,1
28617,74438,25,1
1178,1880,62,0
