a, b, c, d, e
1, 37, 1, 1, 100000
2, 74, 2, 2, 99999
3, 111, 3, 3, 99998
4, 148, 4, 4, 99997
5, 185, 5, 5, 99996
6, 222, 6, 6, 99995
7, 259, 7, 7, 99994
8, 296, 8, 8, 99993
9, 333, 9, 9, 99992
10, 370, 10, 0, 99991
11, 407, 11, 1, 99990
12, 444, 12, 2, 99989
13, 481, 13, 3, 99988
14, 518, 14, 4, 99987
15, 555, 15, 5, 99986
16, 592, 16, 6, 99985
17, 629, 17, 7, 99984
18, 666, 18, 8, 99983
19, 703, 19, 9, 99982
20, 740, 20, 0, 99981
21, 777, 21, 1, 99980
22, 814, 22, 2, 99979
23, 851, 23, 3, 99978
24, 888, 24, 4, 99977
25, 925, 25, 5, 99976
26, 962, 26, 6, 99975
27, 999, 27, 7, 99974
28, 36, 28, 8, 99973
29, 73, 29, 9, 99972
30, 110, 30, 0, 99971
31, 147, 31, 1, 99970
32, 184, 32, 2, 99969
33, 221, 33, 3, 99968
34, 258, 34, 4, 99967
35, 295, 35, 5, 99966
36, 332, 36, 6, 99965
37, 369, 37, 7, 99964
38, 406, 38, 8, 99963
39, 443, 39, 9, 99962
40, 480, 40, 0, 99961
41, 517, 41, 1, 99960
42, 554, 42, 2, 99959
43, 591, 43, 3, 99958
44, 628, 44, 4, 99957
45, 665, 45, 5, 99956
46, 702, 46, 6, 99955
47, 739, 47, 7, 99954
48, 776, 48, 8, 99953
49, 813, 49, 9, 99952
50, 850, 50, 0, 99951
51, 887, 51, 1, 99950
52, 924, 52, 2, 99949
53, 961, 53, 3, 99948
54, 998, 54, 4, 99947
55, 35, 55, 5, 99946
56, 72, 56, 6, 99945
57, 109, 57, 7, 99944
58, 146, 58, 8, 99943
59, 183, 59, 9, 99942
60, 220, 60, 0, 99941
61, 257, 61, 1, 99940
62, 294, 62, 2, 99939
63, 331, 63, 3, 99938
64, 368, 64, 4, 99937
65, 405, 65, 5, 99936
66, 442, 66, 6, 99935
67, 479, 67, 7, 99934
68, 516, 68, 8, 99933
69, 553, 69, 9, 99932
70, 590, 70, 0, 99931
71, 627, 71, 1, 99930
72, 664, 72, 2, 99929
73, 701, 73, 3, 99928
74, 738, 74, 4, 99927
75, 775, 75, 5, 99926
76, 812, 76, 6, 99925
77, 849, 77, 7, 99924
78, 886, 78, 8, 99923
79, 923, 79, 9, 99922
80, 960, 80, 0, 99921
81, 997, 81, 1, 99920
82, 34, 82, 2, 99919
83, 71, 83, 3, 99918
84, 108, 84, 4, 99917
85, 145, 85, 5, 99916
